category;items
biscuits apéritifs soufflés à base de pomme de terre;113
coleslaw;113
röstis de pommes de terre surgelés;113
bières aromatisées;113
pains burger;113
jus de pamplemousse pur jus;113
jus de pomme à base de concentré;113
ravioli au fromage;112
preparations made from fish;112
brocolis;112
chocolats de noël;112
préparations de viande fraîches;112
mousses lactées;111
sushis et makis;111
crêpes fourrées;111
thés glacés saveur pêche;111
yaourts aux fruits avec morceaux;111
bresaola;110
muffins au chocolat;110
semi conserves;110
tartes au citron;110
nectars de mangue;110
substituts de repas;110
chipolatas aux herbes;109
crêpes sucrées;109
framboises;109
pizzas jambon fromage;109
croquants aux amandes;109
rillettes du mans;109
bavette d aloyau;109
veloutés de potiron;109
saucisses fumées;108
miels de forêt;108
tomme des pyrénées;108
chapelure;108
cidres doux;108
muffins aux fruits;108
poulet fermier;108
poulet fermier jaune;108
escalopes milanaises;108
préparations de viande hachées surgelées;108
chocolats noirs à l'orange;108
riz complet;108
barres de céréales aux fruits;107
tourons croquants aux amandes;107
œufs de lump;107
sucres roux;106
ravioli frais;106
huiles d'olive de france;106
box;105
acras de morue;105
escalopes panees;105
haricots blancs en conserve;105
céréales pour bébé;105
purées de céréales;105
mélanges de plantes aromatiques;105
desserts au café;105
purées de sésame;105
crèmes dessert caramel;105
céréales au caramel;105
plats prepares a rechauffer au bain marie;104
fromages blancs au lait de vache;104
thés verts à la menthe;104
citronnades;104
œufs de poules élevées en cage;104
tomme de savoie;104
chicorée soluble;104
yaourts de soja aux fruits;104
bières brunes;103
kiwis;103
compotes pommes abricot;102
calissons d'aix;102
macédoines de légumes en conserve;102
terrines de foie;102
biscuits à la fraise;102
cornichons au vinaigre;101
sauces béarnaises;101
cidres demi secs;101
pizzas margherita;101
vins mutés;101
bolleria industrial;101
figues sèches;100
bâtonnets glacés à la vanille;100
cannelloni préparés;100
confits de canard;100
beignets salés;100
veloutés de tomates;100
vinaigres de vins rouges;100
